content_hash,bookmaker,phase,market,selection,line,price
50329c2642c8d37d3576090e0f30440c,market_avg,open,1x2,home,,1.42
50329c2642c8d37d3576090e0f30440c,market_avg,open,asian_handicap,away,1.25,1.86
50329c2642c8d37d3576090e0f30440c,market_avg,open,asian_handicap,home,-1.25,1.89
50329c2642c8d37d3576090e0f30440c,market_avg,open,total_goals,over,2.5,1.61
50329c2642c8d37d3576090e0f30440c,market_avg,open,total_goals,under,2.5,2.25
50329c2642c8d37d3576090e0f30440c,market_max,open,1x2,away,,8.3
50329c2642c8d37d3576090e0f30440c,market_max,open,1x2,draw,,4.8
50329c2642c8d37d3576090e0f30440c,market_max,open,1x2,home,,1.46
50329c2642c8d37d3576090e0f30440c,market_max,open,asian_handicap,away,1.25,1.93
50329c2642c8d37d3576090e0f30440c,market_max,open,asian_handicap,home,-1.25,1.93
50329c2642c8d37d3576090e0f30440c,market_max,open,total_goals,over,2.5,1.64
50329c2642c8d37d3576090e0f30440c,market_max,open,total_goals,under,2.5,2.3
50329c2642c8d37d3576090e0f30440c,paddy_power,open,1x2,away,,7.0
50329c2642c8d37d3576090e0f30440c,paddy_power,open,1x2,draw,,4.5
50329c2642c8d37d3576090e0f30440c,paddy_power,open,1x2,home,,1.4
50329c2642c8d37d3576090e0f30440c,skybet,open,1x2,away,,7.0
50329c2642c8d37d3576090e0f30440c,skybet,open,1x2,draw,,4.75
50329c2642c8d37d3576090e0f30440c,skybet,open,1x2,home,,1.4
160d72e56723710eaa251b06fc946e73,bet365,open,1x2,away,,7.5
160d72e56723710eaa251b06fc946e73,bet365,open,1x2,draw,,5.75
160d72e56723710eaa251b06fc946e73,bet365,open,1x2,home,,1.33
160d72e56723710eaa251b06fc946e73,bet365,open,asian_handicap,away,1.5,1.98
160d72e56723710eaa251b06fc946e73,bet365,open,asian_handicap,home,-1.5,1.88
160d72e56723710eaa251b06fc946e73,bet365,open,total_goals,over,2.5,1.36
160d72e56723710eaa251b06fc946e73,bet365,open,total_goals,under,2.5,3.2
160d72e56723710eaa251b06fc946e73,bet_and_win,open,1x2,away,,7.0
160d72e56723710eaa251b06fc946e73,bet_and_win,open,1x2,draw,,5.75
160d72e56723710eaa251b06fc946e73,bet_and_win,open,1x2,home,,1.35
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,1x2,away,,8.4
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,1x2,draw,,5.9
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,1x2,home,,1.39
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,asian_handicap,away,1.5,1.98
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,asian_handicap,home,-1.5,1.96
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,total_goals,over,2.5,1.39
160d72e56723710eaa251b06fc946e73,betfair_exchange,open,total_goals,under,2.5,3.5
160d72e56723710eaa251b06fc946e73,betfred,open,1x2,away,,7.5
160d72e56723710eaa251b06fc946e73,betfred,open,1x2,draw,,5.5
160d72e56723710eaa251b06fc946e73,betfred,open,1x2,home,,1.36
160d72e56723710eaa251b06fc946e73,betvictor,open,1x2,away,,8.0
160d72e56723710eaa251b06fc946e73,betvictor,open,1x2,draw,,5.5
160d72e56723710eaa251b06fc946e73,betvictor,open,1x2,home,,1.33
160d72e56723710eaa251b06fc946e73,market_avg,open,1x2,away,,7.44
160d72e56723710eaa251b06fc946e73,market_avg,open,1x2,draw,,5.59
160d72e56723710eaa251b06fc946e73,market_avg,open,1x2,home,,1.34
160d72e56723710eaa251b06fc946e73,market_avg,open,asian_handicap,away,1.5,1.87
160d72e56723710eaa251b06fc946e73,market_avg,open,asian_handicap,home,-1.5,1.85
160d72e56723710eaa251b06fc946e73,market_avg,open,total_goals,over,2.5,1.35
160d72e56723710eaa251b06fc946e73,market_avg,open,total_goals,under,2.5,3.1
160d72e56723710eaa251b06fc946e73,market_max,open,1x2,away,,8.0
160d72e56723710eaa251b06fc946e73,market_max,open,1x2,draw,,5.75
160d72e56723710eaa251b06fc946e73,market_max,open,1x2,home,,1.4
160d72e56723710eaa251b06fc946e73,market_max,open,asian_handicap,away,1.5,1.98
160d72e56723710eaa251b06fc946e73,market_max,open,asian_handicap,home,-1.5,1.93
160d72e56723710eaa251b06fc946e73,market_max,open,total_goals,over,2.5,1.38
160d72e56723710eaa251b06fc946e73,market_max,open,total_goals,under,2.5,3.3
160d72e56723710eaa251b06fc946e73,paddy_power,open,1x2,away,,7.5
160d72e56723710eaa251b06fc946e73,paddy_power,open,1x2,draw,,5.5
160d72e56723710eaa251b06fc946e73,paddy_power,open,1x2,home,,1.33
160d72e56723710eaa251b06fc946e73,skybet,open,1x2,away,,7.5
160d72e56723710eaa251b06fc946e73,skybet,open,1x2,draw,,5.5
160d72e56723710eaa251b06fc946e73,skybet,open,1x2,home,,1.33
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,1x2,away,,1.75
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,1x2,draw,,3.4
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,1x2,home,,5.25
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,asian_handicap,away,-0.75,2.03
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,asian_handicap,home,0.75,1.83
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,total_goals,over,2.5,2.05
0a838990b1dfe1cd3886dbc31bb3bf8b,bet365,open,total_goals,under,2.5,1.8
0a838990b1dfe1cd3886dbc31bb3bf8b,bet_and_win,open,1x2,away,,1.78
0a838990b1dfe1cd3886dbc31bb3bf8b,bet_and_win,open,1x2,draw,,3.5
0a838990b1dfe1cd3886dbc31bb3bf8b,bet_and_win,open,1x2,home,,4.75
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,1x2,away,,1.81
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,1x2,draw,,3.6
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,1x2,home,,5.6
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,asian_handicap,away,-0.75,2.06
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,asian_handicap,home,0.75,1.92
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,total_goals,over,2.5,2.16
0a838990b1dfe1cd3886dbc31bb3bf8b,betfair_exchange,open,total_goals,under,2.5,1.83
0a838990b1dfe1cd3886dbc31bb3bf8b,betfred,open,1x2,away,,1.8
0a838990b1dfe1cd3886dbc31bb3bf8b,betfred,open,1x2,draw,,3.5
0a838990b1dfe1cd3886dbc31bb3bf8b,betfred,open,1x2,home,,4.6
0a838990b1dfe1cd3886dbc31bb3bf8b,betvictor,open,1x2,away,,1.75
0a838990b1dfe1cd3886dbc31bb3bf8b,betvictor,open,1x2,draw,,3.6
0a838990b1dfe1cd3886dbc31bb3bf8b,betvictor,open,1x2,home,,4.75
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,1x2,away,,1.78
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,1x2,draw,,3.43
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,1x2,home,,4.88
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,asian_handicap,away,-0.75,1.97
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,asian_handicap,home,0.75,1.78
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,total_goals,over,2.5,2.05
0a838990b1dfe1cd3886dbc31bb3bf8b,market_avg,open,total_goals,under,2.5,1.73
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,1x2,away,,1.84
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,1x2,draw,,3.6
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,1x2,home,,5.25
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,asian_handicap,away,-0.75,2.03
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,asian_handicap,home,0.75,1.83
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,total_goals,over,2.5,2.1
0a838990b1dfe1cd3886dbc31bb3bf8b,market_max,open,total_goals,under,2.5,1.8
0a838990b1dfe1cd3886dbc31bb3bf8b,paddy_power,open,1x2,away,,1.75
0a838990b1dfe1cd3886dbc31bb3bf8b,paddy_power,open,1x2,draw,,3.4
0a838990b1dfe1cd3886dbc31bb3bf8b,paddy_power,open,1x2,home,,5.0
0a838990b1dfe1cd3886dbc31bb3bf8b,skybet,open,1x2,away,,1.75
0a838990b1dfe1cd3886dbc31bb3bf8b,skybet,open,1x2,draw,,3.5
0a838990b1dfe1cd3886dbc31bb3bf8b,skybet,open,1x2,home,,5.0
d3500e1c11b3dc85606b824259694aad,bet365,open,1x2,away,,1.38
d3500e1c11b3dc85606b824259694aad,bet365,open,1x2,draw,,5.25
d3500e1c11b3dc85606b824259694aad,bet365,open,1x2,home,,7.0
d3500e1c11b3dc85606b824259694aad,bet365,open,asian_handicap,away,-1.25,1.9
d3500e1c11b3dc85606b824259694aad,bet365,open,asian_handicap,home,1.25,1.95
d3500e1c11b3dc85606b824259694aad,bet365,open,total_goals,over,2.5,1.36
d3500e1c11b3dc85606b824259694aad,bet365,open,total_goals,under,2.5,3.2
d3500e1c11b3dc85606b824259694aad,bet_and_win,open,1x2,away,,1.47
d3500e1c11b3dc85606b824259694aad,bet_and_win,open,1x2,draw,,5.0
d3500e1c11b3dc85606b824259694aad,bet_and_win,open,1x2,home,,5.5
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,1x2,away,,1.47
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,1x2,draw,,5.3
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,1x2,home,,7.2
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,asian_handicap,away,-1.25,1.97
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,asian_handicap,home,1.25,1.99
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,total_goals,over,2.5,1.42
d3500e1c11b3dc85606b824259694aad,betfair_exchange,open,total_goals,under,2.5,3.3
d3500e1c11b3dc85606b824259694aad,betfred,open,1x2,away,,1.44
d3500e1c11b3dc85606b824259694aad,betfred,open,1x2,draw,,5.0
d3500e1c11b3dc85606b824259694aad,betfred,open,1x2,home,,6.5
d3500e1c11b3dc85606b824259694aad,betvictor,open,1x2,away,,1.4
d3500e1c11b3dc85606b824259694aad,betvictor,open,1x2,draw,,5.25
d3500e1c11b3dc85606b824259694aad,betvictor,open,1x2,home,,6.5
d3500e1c11b3dc85606b824259694aad,market_avg,open,1x2,away,,1.42
d3500e1c11b3dc85606b824259694aad,market_avg,open,1x2,draw,,5.06
d3500e1c11b3dc85606b824259694aad,market_avg,open,1x2,home,,6.33
